epoch,loss,f1_pose,f1_hair
1,15.060099944472313,0.9817807816632382,0.9089039083161916
2,0.7676573018543422,0.9938220347427509,0.9064856711915535
3,0.4214757881127298,0.981627210167594,0.8651755203479341
4,0.2868655046913773,0.9878032786885246,0.905403687221869
5,0.19823223003186285,0.981627210167594,0.863472574402776
6,0.17616638424806297,0.9817807816632382,0.8665391054771586
7,0.10098824556916952,0.9758064516129032,0.8678396210455084
8,0.06539399502798915,0.9878032786885246,0.8608731130150958
9,0.06341822782997042,0.9938220347427509,0.8747306034482758
10,0.06589504319708794,0.9876984126984127,0.869079939668175
